SAS_Angle[Deg],SAS_Speed,CR_Yrs_Yr,CR_Yrs_LatAc[g],ACCEL_REF_ACC[m/s^2],DriverBraking,CR_Mdps_DrvTq,CR_Brk_StkDep_Pc[%],CR_Yrs_LongAc[g],CR_Mdps_StrColTq[Nm],CR_Mdps_StrTq[Nm],CR_Mdps_OutTq,CF_Gway_TSigLHSw,CF_Gway_TSigRHSw,CR_Vcu_AccPedDep_Pc[%],CR_Mcu_VehSpd_Kph[kph],Time[s]
2.1,0,0.134999999999991,0.053280370000001,1.27,0,0.649999999999999,0,0.132181205,0.6484375,0.649999999999999,0.300000000000011,0,0,24.7058823501,57,354
1.9,0,0.02000000000001,0.039386685,0.720000000000001,0,0.02,0,0.089607895,0.0234375,0.02,-0.400000000000006,0,0,17.6470588215,60,355
-0.3,0,-0.60499999999999,0.00892255,0.69,0,-0.510000000000002,0,0.092157195,-0.515625,-0.510000000000002,-0.300000000000011,0,0,17.6470588215,63,356
-2.2,0,-1.62,-0.003951415,0.42,0,-0.940000000000001,0,0.061055735,-0.9375,-0.940000000000001,0,0,0,15.686274508,65,357
0.3,0,-0.474999999999994,0.033778225,-0.550000000000001,0,0.32,0,-0.04716205,0.3203125,0.32,0.099999999999994,0,0,0,64,358
0.7,0,-0.280000000000001,0.034797945,-0.560000000000001,0,0.440000000000001,0,-0.04971135,0.4375,0.440000000000001,0,0,0,0,62,359
0.8,0,0.055000000000007,0.046524725,-0.69,0,0.32,0,-0.042190915,0.3203125,0.32,0,0,0,0,59,360
-1.4,0,-1.155,0.007010575,-0.800000000000001,0,-1.3,0,-0.04359303,-1.3046875,-1.3,-0.900000000000006,0,0,0,57,361
0.3,0,-0.164999999999992,0.03161132,-0.620000000000001,0,-0.140000000000001,0,-0.042445845,-0.1328125,-0.140000000000001,0,0,0,0,55,362
0.4,0,-0.080000000000013,0.03518034,-0.609999999999999,0,-0.109999999999999,0,-0.038112035,-0.1171875,-0.120000000000001,0,0,0,0,52,363
0.5,0,-0.419999999999988,0.018482425,-0.73,0,-1.23,0,-0.04512261,-1.5703125,-1.57,-2.5,0,0,0,50,364
0.5,0,-0.310000000000002,0.04410289,-0.91,0,0.350000000000001,11,-0.078136045,0.3984375,0.399999999999999,0.199999999999989,0,0,0,48,365
0.7,0,0.085000000000008,0.027787370000001,-1.36,1,0.239999999999998,28,-0.135495295,0.1796875,0.18,-0.300000000000011,0,0,0,43,366
-1.8,8,-0.409999999999997,0.03900429,-1.66,1,-0.609999999999999,31,-0.14709461,-0.65625,-0.66,-0.099999999999994,0,0,0,37,367
0.1,0,0.10499999999999,0.04512261,-1.37,1,0.07,25,-0.117140335,0.109375,0.109999999999999,0.400000000000006,0,0,0,32,368
2.1,0,0.400000000000006,0.049583885,-1.06,0,0.469999999999999,11,-0.068193775,0.484375,0.489999999999998,0,0,0,0,27,369
0.4,12,-0.365000000000009,0.034033155,-0.620000000000001,0,0.5,0,-0.03110146,0.5,0.5,0.599999999999994,0,0,0,25,370
4.3,0,0.389999999999986,0.04614233,-1.21,1,0.899999999999999,24,-0.109237505,0.8984375,0.899999999999999,0.900000000000006,0,0,0,21,371
7.1,0,0.659999999999997,0.04537754,-1.37,1,0.670000000000002,28,-0.119434705,0.671875,0.670000000000002,0.099999999999994,0,0,0,16,372
2.2,0,0.25,0.0458874,-1.12,0,0.059999999999999,14,-0.05430009,0.0625,0.059999999999999,0,0,0,0,12,373
2.2,0,0.439999999999998,0.02957188,-0.32,0,0.140000000000001,0,0.00713804,0.15625,0.149999999999999,-0.099999999999994,0,0,0,10,374
2.1,0,0.264999999999986,0.042445845,-0.220000000000001,0,0.120000000000001,0,0.004716205,0.1171875,0.120000000000001,0,0,0,0,9,375
2.2,0,0.125,0.049583885,0.060000000000001,0,0.199999999999999,0,0.025620465,0.1875,0.190000000000001,0,0,0,0.7843137254,10,376
